object,mode_id,series_id,run_id,rows_total,rows_ok,rows_excluded,t0_ms,deadline_threshold_ms,load_level,load_passes,Tper_min_ms,Tper_max_ms,Tper_mean_ms,Tper_median_ms,Tper_q95_ms,Tper_q99_ms,Tper_q999_ms,Jper_min_ms,Jper_max_ms,Jper_mean_ms,deadline_miss_count,Rmiss,Lburst,quality_flags,notes,source_file
HW_PLC,S7_L0_IDLE_10_20,SER_20260502_S7_L0_IDLE_10_20_S01,RUN_20260502_S7_L0_IDLE_10_20_S01_R01,1000,1000,0,10,20,0,0,0.401,1.769,0.597539,0.575,1.174,1.373,1.733,-9.599,-8.231,-9.402460989,0,0,0,ok:1000,,raw_logs\hw_plc_s7_1200\S7_L0_IDLE_10_20\RUN_20260502_S7_L0_IDLE_10_20_S01_R01.csv
HW_PLC,S7_L0_IDLE_10_20,SER_20260502_S7_L0_IDLE_10_20_S01,RUN_20260502_S7_L0_IDLE_10_20_S01_R02,1000,1000,0,10,20,0,0,0.401,1.45,0.586662,0.575,1.164,1.369,1.447,-9.599,-8.55,-9.413337999,0,0,0,ok:1000,,raw_logs\hw_plc_s7_1200\S7_L0_IDLE_10_20\RUN_20260502_S7_L0_IDLE_10_20_S01_R02.csv
HW_PLC,S7_L0_IDLE_10_20,SER_20260502_S7_L0_IDLE_10_20_S01,RUN_20260502_S7_L0_IDLE_10_20_S01_R03,1000,1000,0,10,20,0,0,0.398,1.695,0.581926,0.576,1.15,1.378,1.592,-9.602,-8.305,-9.418073999,0,0,0,ok:1000,,raw_logs\hw_plc_s7_1200\S7_L0_IDLE_10_20\RUN_20260502_S7_L0_IDLE_10_20_S01_R03.csv
HW_PLC,S7_L0_IDLE_10_20,SER_20260502_S7_L0_IDLE_10_20_S01,RUN_20260502_S7_L0_IDLE_10_20_S01_R04,1000,1000,0,10,20,0,0,0.394,1.49,0.578244,0.572,1.16,1.39,1.441,-9.606,-8.51,-9.421755994,0,0,0,ok:1000,,raw_logs\hw_plc_s7_1200\S7_L0_IDLE_10_20\RUN_20260502_S7_L0_IDLE_10_20_S01_R04.csv
HW_PLC,S7_L0_IDLE_10_20,SER_20260502_S7_L0_IDLE_10_20_S01,RUN_20260502_S7_L0_IDLE_10_20_S01_R05,1000,1000,0,10,20,0,0,0.397,1.817,0.60748,0.577,1.212,1.388,1.555,-9.603,-8.183,-9.392519995,0,0,0,ok:1000,,raw_logs\hw_plc_s7_1200\S7_L0_IDLE_10_20\RUN_20260502_S7_L0_IDLE_10_20_S01_R05.csv
HW_PLC,S7_L1_LIGHT_10_20,SER_20260502_S7_L1_LIGHT_10_20_S01,RUN_20260502_S7_L1_LIGHT_10_20_S01_R01,1000,1000,0,10,20,1,32,4.749,7.734,5.497053,4.96,7.055,7.307,7.632,-5.251,-2.266,-4.502947,0,0,0,ok:1000,,raw_logs\hw_plc_s7_1200\S7_L1_LIGHT_10_20\RUN_20260502_S7_L1_LIGHT_10_20_S01_R01.csv
HW_PLC,S7_L1_LIGHT_10_20,SER_20260502_S7_L1_LIGHT_10_20_S01,RUN_20260502_S7_L1_LIGHT_10_20_S01_R02,1000,1000,0,10,20,1,32,4.743,7.585,5.478956,4.963,7.036,7.254,7.465,-5.257,-2.415,-4.521044,0,0,0,ok:1000,,raw_logs\hw_plc_s7_1200\S7_L1_LIGHT_10_20\RUN_20260502_S7_L1_LIGHT_10_20_S01_R02.csv
HW_PLC,S7_L1_LIGHT_10_20,SER_20260502_S7_L1_LIGHT_10_20_S01,RUN_20260502_S7_L1_LIGHT_10_20_S01_R03,1000,1000,0,10,20,1,32,4.752,8.142,5.473149,4.9635,7.054,7.295,7.737,-5.248,-1.858,-4.526851,0,0,0,ok:1000,,raw_logs\hw_plc_s7_1200\S7_L1_LIGHT_10_20\RUN_20260502_S7_L1_LIGHT_10_20_S01_R03.csv
HW_PLC,S7_L1_LIGHT_10_20,SER_20260502_S7_L1_LIGHT_10_20_S01,RUN_20260502_S7_L1_LIGHT_10_20_S01_R04,1000,1000,0,10,20,1,32,4.747,7.756,5.481971,4.959,7.05,7.256,7.596,-5.253,-2.244,-4.518029,0,0,0,ok:1000,,raw_logs\hw_plc_s7_1200\S7_L1_LIGHT_10_20\RUN_20260502_S7_L1_LIGHT_10_20_S01_R04.csv
HW_PLC,S7_L1_LIGHT_10_20,SER_20260502_S7_L1_LIGHT_10_20_S01,RUN_20260502_S7_L1_LIGHT_10_20_S01_R05,1000,1000,0,10,20,1,32,4.74,7.69,5.493379,4.9615,7.044,7.257,7.438,-5.26,-2.31,-4.506621,0,0,0,ok:1000,,raw_logs\hw_plc_s7_1200\S7_L1_LIGHT_10_20\RUN_20260502_S7_L1_LIGHT_10_20_S01_R05.csv
